T,seed,estimator,measure,numpy_val,jidt_val
800,4,kraskov,TE_autoembed,0.08418771516325196,0.09007184929304857
800,4,symbolic,TE_k10,0.0,
800,5,kraskov,MI_DCE5,0.05373749666375538,0.050392110694554404
800,5,kraskov,TE_DCE5,0.09163777332173106,0.09195251128967286
800,5,kernel,TE_DCE5,0.10192518512008854,0.10033715326285583
800,5,gaussian,TE_k2,0.09195309962479942,0.09195309962479906
800,5,kraskov,TE_k2,0.09539897467876801,0.094717944865373
800,5,gaussian,TE_autoembed,0.09115260128937308,0.09985324298662579
800,5,kraskov,TE_autoembed,0.05373067035615131,0.057077643089582075
800,5,symbolic,TE_k10,0.0025316455696202667,
800,6,kraskov,MI_DCE5,0.061159291816978545,0.0537016642943966
800,6,kraskov,TE_DCE5,0.037943764922310885,0.045169575555473074
800,6,kernel,TE_DCE5,0.07461721085279659,0.0727243591289772
800,6,gaussian,TE_k2,0.06686207413947509,0.06686207413947512
800,6,kraskov,TE_k2,0.08012700704207076,0.0856270317029535
800,6,gaussian,TE_autoembed,0.06698805875067526,0.07323930035448215
800,6,kraskov,TE_autoembed,0.04173679537500807,0.041694637426138215
800,6,symbolic,TE_k10,0.0,
800,7,kraskov,MI_DCE5,0.05119420799940411,0.04081752681999973
800,7,kraskov,TE_DCE5,0.10739113754155638,0.10281988049742141
800,7,kernel,TE_DCE5,0.08803102681103042,0.08731440410291044
800,7,gaussian,TE_k2,0.0909488533675672,0.09094885336756635
800,7,kraskov,TE_k2,0.10184192439937445,0.10037612910546456
800,7,gaussian,TE_autoembed,0.09177990578350892,0.0921614621184608
800,7,kraskov,TE_autoembed,0.10479785560073296,0.09088448543945549
800,7,symbolic,TE_k10,0.0,
800,8,kraskov,MI_DCE5,0.07812774538545852,0.0696033104039202
800,8,kraskov,TE_DCE5,0.12187610139504224,0.11546225018527845
800,8,kernel,TE_DCE5,0.1203257352177876,0.11840154784123832
800,8,gaussian,TE_k2,0.09494871736579102,0.09494871736579054
800,8,kraskov,TE_k2,0.10520378732565239,0.10864383327195815
800,8,gaussian,TE_autoembed,0.09033820123322966,0.09217700874342737
800,8,kraskov,TE_autoembed,0.10520378732565239,0.07845533124573856
800,8,symbolic,TE_k10,0.0,
800,9,kraskov,MI_DCE5,0.08799025779837244,0.08458825957796012
800,9,kraskov,TE_DCE5,0.10817378241549425,0.12185662713446876
800,9,kernel,TE_DCE5,0.1492454861898641,0.14489611665005495
800,9,gaussian,TE_k2,0.12166825361618672,0.12166825361618724
800,9,kraskov,TE_k2,0.12573107668109063,0.11891552011790396
800,9,gaussian,TE_autoembed,0.12254114457460874,0.12653519988042658
800,9,kraskov,TE_autoembed,0.1126340568400408,0.0865728475760077
800,9,symbolic,TE_k10,0.0,
1600,0,kraskov,MI_DCE5,0.026603119226654037,0.02793501163576284
1600,0,kraskov,TE_DCE5,0.12027338569697399,0.11945735512835243
1600,0,kernel,TE_DCE5,0.12087118781190073,0.11905336743098707
1600,0,gaussian,TE_k2,0.09247778988123045,0.09247778988123105
1600,0,kraskov,TE_k2,0.08297578618691759,0.08769810530169964
1600,0,gaussian,TE_autoembed,0.09205357019499366,0.0945038982044984
1600,0,kraskov,TE_autoembed,0.08297578618691759,0.08769810530169964
1600,0,symbolic,TE_k10,0.002515723270439807,
1600,1,kraskov,MI_DCE5,0.031948880218702236,0.03215630042805362
1600,1,kraskov,TE_DCE5,0.08668027536513034,0.08844234418395769
1600,1,kernel,TE_DCE5,0.10992585955523744,0.10838902862393168
1600,1,gaussian,TE_k2,0.08780413810617993,0.08780413810618087
1600,1,kraskov,TE_k2,0.09305363458985871,0.09528917553969984
1600,1,gaussian,TE_autoembed,0.08871338385083916,0.09226167033539798
1600,1,kraskov,TE_autoembed,0.0861350623853514,0.08375191469760246
1600,1,symbolic,TE_k10,0.002515723270439807,
1600,2,kraskov,MI_DCE5,0.026305869377515556,0.027038041028013104
1600,2,kraskov,TE_DCE5,0.07467622497293602,0.07540576858840908
1600,2,kernel,TE_DCE5,0.09932410351926509,0.09759484164328981
1600,2,gaussian,TE_k2,0.08937579088367537,0.08937579088367598
1600,2,kraskov,TE_k2,0.10506022439307694,0.09861099386537053
1600,2,gaussian,TE_autoembed,0.08783274147050468,0.08810923490522568
1600,2,kraskov,TE_autoembed,0.10506022439307694,0.07573896746354247
1600,2,symbolic,TE_k10,0.0012578616352207916,
1600,3,kraskov,MI_DCE5,0.009114933284034343,0.005787903119286675
1600,3,kraskov,TE_DCE5,0.09010627474391053,0.08906729343647912
1600,3,kernel,TE_DCE5,0.10584042795999503,0.10429118060697132
1600,3,gaussian,TE_k2,0.08062763288584979,0.08062763288584995
1600,3,kraskov,TE_k2,0.06733889303924334,0.06959183122918722
1600,3,gaussian,TE_autoembed,0.08016821228029425,0.08235157123521476
1600,3,kraskov,TE_autoembed,0.076285258540155,0.10166550285972753
1600,3,symbolic,TE_k10,0.0,
1600,4,kraskov,MI_DCE5,0.02470583620067668,0.030379856311644637
1600,4,kraskov,TE_DCE5,0.09890494312549092,0.094061526849053
1600,4,kernel,TE_DCE5,0.10593378367315706,0.10434689600026824
1600,4,gaussian,TE_k2,0.09547300129120295,0.09547300129120283
1600,4,kraskov,TE_k2,0.08268495616040972,0.08438237629947287
1600,4,gaussian,TE_autoembed,0.0951846314358471,0.09751717287054372
1600,4,kraskov,TE_autoembed,0.0814837279430003,0.09835585467347063
1600,4,symbolic,TE_k10,0.0012578616352207916,
1600,5,kraskov,MI_DCE5,0.05397486022673714,0.05246081454887719
1600,5,kraskov,TE_DCE5,0.10395315973296748,0.10156110705654053
1600,5,kernel,TE_DCE5,0.13364627685414002,0.1323228690660615
1600,5,gaussian,TE_k2,0.09611115172962426,0.0961111517296238
1600,5,kraskov,TE_k2,0.09859333912699242,0.10565557669186454
1600,5,gaussian,TE_autoembed,0.09407614702068812,0.09657187591365109
1600,5,kraskov,TE_autoembed,0.0830847988046779,0.09310280505461677
1600,5,symbolic,TE_k10,0.0,
1600,6,kraskov,MI_DCE5,0.013148944544346897,0.014881081416945996
1600,6,kraskov,TE_DCE5,0.09794598024766832,0.10230304953221014
1600,6,kernel,TE_DCE5,0.11165578243552586,0.11045724641543016
1600,6,gaussian,TE_k2,0.08593615874617805,0.08593615874617734
1600,6,kraskov,TE_k2,0.09003633400345801,0.09175762941225929
1600,6,gaussian,TE_autoembed,0.08552153641722882,0.08958946017420245
1600,6,kraskov,TE_autoembed,0.09832520977520431,0.08472375322942072
1600,6,symbolic,TE_k10,0.0012578616352207916,
1600,7,kraskov,MI_DCE5,0.056646650867430814,0.05796799807937436
1600,7,kraskov,TE_DCE5,0.09878000434515521,0.09307556253683513
1600,7,kernel,TE_DCE5,0.12314845487271327,0.1208974053481529
1600,7,gaussian,TE_k2,0.10018206945681807,0.10018206945681857
1600,7,kraskov,TE_k2,0.08569088824101811,0.08845877392640134
1600,7,gaussian,TE_autoembed,0.09905197900795537,0.09908013251212067
1600,7,kraskov,TE_autoembed,0.08569088824101811,0.08819309440726619
1600,7,symbolic,TE_k10,0.0,
1600,8,kraskov,MI_DCE5,0.017269125773631266,0.021102749935512755
1600,8,kraskov,TE_DCE5,0.07217539868872058,0.07301704897804062
1600,8,kernel,TE_DCE5,0.1040695329832236,0.10250034364718505
1600,8,gaussian,TE_k2,0.07848403966933554,0.07848403966933569
1600,8,kraskov,TE_k2,0.05965195201063089,0.05852317368301807
1600,8,gaussian,TE_autoembed,0.07853542198663899,0.07838392689360704
1600,8,kraskov,TE_autoembed,0.05965195201063089,0.05852317368301807
1600,8,symbolic,TE_k10,0.0,
1600,9,kraskov,MI_DCE5,0.0728799095740813,0.07597761330385655
1600,9,kraskov,TE_DCE5,0.09343651011857501,0.09268365618588881
1600,9,kernel,TE_DCE5,0.0972409259813344,0.09651768827547058
1600,9,gaussian,TE_k2,0.07415777698716786,0.07415777698716813
1600,9,kraskov,TE_k2,0.08866809151138821,0.08804293704351851
1600,9,gaussian,TE_autoembed,0.07547242978055513,0.07723394392520758
1600,9,kraskov,TE_autoembed,0.08866809151138821,0.05696352006683103
1600,9,symbolic,TE_k10,0.0037735849056605986,
