T,seed,estimator,measure,numpy_val,jidt_val
200,6,kernel,MI,0.13295498374370973,0.13295498374371015
200,6,gaussian,TE,0.13152738006069525,0.1315273800606959
200,6,kraskov,TE,0.1422731240053816,0.15133483750307009
200,6,kernel,TE,0.3812147393936184,0.3825365203274564
200,6,symbolic,TE,0.027592442726569688,0.027592442726569643
200,7,gaussian,entropy,1.5533442507277504,1.5533442457277504
200,7,kozachenko,entropy,1.5479983802283561,1.5479949827660668
200,7,kernel,entropy,2.2101237256208863,2.210123725620888
200,7,gaussian,MI,0.0012760708190158979,0.0012760708190158996
200,7,kraskov,MI,0.04157754449658224,0.048976094675139414
200,7,kernel,MI,0.023885628442144365,0.023885628442144678
200,7,gaussian,TE,0.09242674655865418,0.09242674655865428
200,7,kraskov,TE,0.05254874427488598,0.05534342864284536
200,7,kernel,TE,0.32512210529214025,0.3309769999945346
200,7,symbolic,TE,0.055981581206624,0.05598158120662356
200,8,gaussian,entropy,1.5920465980038823,1.5920465930038823
200,8,kozachenko,entropy,1.5024052970904611,1.5024006684025641
200,8,kernel,entropy,2.273060918206986,2.273060918206986
200,8,gaussian,MI,0.019371801595921063,0.01937180159592114
200,8,kraskov,MI,0.03147074453945198,0.024983773050367475
200,8,kernel,MI,0.09020717600372534,0.09020717600372569
200,8,gaussian,TE,0.08022872458886465,0.0802287245888644
200,8,kraskov,TE,0.1154069913910698,0.09282073910405142
200,8,kernel,TE,0.3496206606850904,0.3489434706972282
200,8,symbolic,TE,0.014039102604932463,0.014039102604932411
200,9,gaussian,entropy,1.6241324459258786,1.6241324409258784
200,9,kozachenko,entropy,1.5173281417192932,1.517328498463355
200,9,kernel,entropy,2.3358236539732937,2.3358236539732924
200,9,gaussian,MI,0.05623967942306016,0.056239679423060206
200,9,kraskov,MI,-0.016548319169189085,-0.016965378490194638
200,9,kernel,MI,0.1341001500093241,0.13410015000932432
200,9,gaussian,TE,0.08980212524856293,0.08980212524856272
200,9,kraskov,TE,0.1462811592738762,0.15244481802954524
200,9,kernel,TE,0.3371510879203864,0.3381521415277946
200,9,symbolic,TE,0.04656231434808711,0.046562314348087386
800,0,gaussian,entropy,1.5340246520216632,1.5340246470216634
800,0,kozachenko,entropy,1.5134859072802112,1.51342514328414
800,0,kernel,entropy,2.217425103159884,2.2174251031598837
800,0,gaussian,MI,0.03584293453201478,0.03584293453201472
800,0,kraskov,MI,0.021565779105583438,0.01847353466481305
800,0,kernel,MI,0.07453043599745812,0.07453043599745739
800,0,gaussian,TE,0.08438998401440201,0.08438998401440238
800,0,kraskov,TE,0.06856416741636906,0.05748417113084425
800,0,kernel,TE,0.13436029456914605,0.13406309596512053
800,0,symbolic,TE,0.023849530843269573,0.023849530843270125
800,1,gaussian,entropy,1.5680650985612037,1.568065093561203
800,1,kozachenko,entropy,1.4793866508680367,1.4794986665760312
800,1,kernel,entropy,2.2591658714968075,2.2591658714968004
800,1,gaussian,MI,0.044225394438509744,0.04422539443850986
800,1,kraskov,MI,0.07239757378906564,0.06382201570738744
800,1,kernel,MI,0.0773875013617689,0.07738750136176842
800,1,gaussian,TE,0.08117144155389067,0.08117144155389058
800,1,kraskov,TE,0.074908871717146,0.07729972933181206
800,1,kernel,TE,0.17145845389407274,0.17145845389407263
800,1,symbolic,TE,0.02235425084169851,0.02235425084169852
800,2,gaussian,entropy,1.588654829592416,1.5886548245924157
800,2,kozachenko,entropy,1.580120566369775,1.5801164614602543
800,2,kernel,entropy,2.285771982415006,2.2857719824150062
800,2,gaussian,MI,0.029576812443674695,0.02957681244367476
800,2,kraskov,MI,0.05204117815566889,0.046303290347548653
800,2,kernel,MI,0.0737849887586031,0.07378498875860245
800,2,gaussian,TE,0.11522409837205017,0.11522409837205008
800,2,kraskov,TE,0.12584451247216988,0.12280324075755411
800,2,kernel,TE,0.23442521704541663,0.23510392142880898
800,2,symbolic,TE,0.02773278825577452,0.027732788255774955
800,3,gaussian,entropy,1.5664242831472863,1.5664242781472857
800,3,kozachenko,entropy,1.5980073389840959,1.5980175268266725
800,3,kernel,entropy,2.255360208693939,2.255360208693938
800,3,gaussian,MI,0.029456666150171153,0.02945666615017108
800,3,kraskov,MI,0.04295098474522607,0.04875751113082405
800,3,kernel,MI,0.06014767720237014,0.060147677202369555
800,3,gaussian,TE,0.07346265628090781,0.07346265628090838
800,3,kraskov,TE,0.0756133656913549,0.06442955062385858
800,3,kernel,TE,0.18136729470664892,0.1819110758574671
800,3,symbolic,TE,0.009386415000733228,0.009386415000733596
800,4,gaussian,entropy,1.5721409813551512,1.5721409763551517
800,4,kozachenko,entropy,1.579116190478537,1.5788547514002795
800,4,kernel,entropy,2.2692827120774695,2.2692827120774717
800,4,gaussian,MI,0.03370859611085647,0.03370859611085652
800,4,kraskov,MI,-0.012048557218633071,-0.015678127936697983
800,4,kernel,MI,0.07275108003154225,0.07275108003154165
800,4,gaussian,TE,0.084694807486274,0.08469480748627325
800,4,kraskov,TE,0.10771089240635945,0.10967128507138035
800,4,kernel,TE,0.1969871266538956,0.19734613019324537
800,4,symbolic,TE,0.021334578522572478,0.021334578522572246
800,5,gaussian,entropy,1.5939039008394953,1.593903895839495
800,5,kozachenko,entropy,1.6147350064787735,1.6147316310177917
800,5,kernel,entropy,2.290319991616551,2.290319991616546
800,5,gaussian,MI,0.02105432763828398,0.02105432763828424
800,5,kraskov,MI,0.037419086204734775,0.03296406682784436
800,5,kernel,MI,0.04774134394192865,0.04774134394192813
800,5,gaussian,TE,0.09192467782641167,0.09192467782641156
800,5,kraskov,TE,0.09221320999894722,0.09506401818599497
800,5,kernel,TE,0.19013030403584807,0.19013030403584794
800,5,symbolic,TE,0.03689719605608355,0.03689719605608347
800,6,gaussian,entropy,1.5499877056104294,1.5499877006104295
800,6,kozachenko,entropy,1.5909753983644626,1.590971946035813
800,6,kernel,entropy,2.235147308504237,2.2351473085042297
800,6,gaussian,MI,0.03761655257055796,0.03761655257055799
800,6,kraskov,MI,0.053875114844675664,0.046350659651746895
800,6,kernel,MI,0.079988615085421,0.0799886150854204
800,6,gaussian,TE,0.06698805875067526,0.06698805875067532
800,6,kraskov,TE,0.04173679537500807,0.047412431269959754
800,6,kernel,TE,0.14690448427517547,0.14695969423324448
800,6,symbolic,TE,0.016248328429016246,0.01624832842901616
800,7,gaussian,entropy,1.544888791069417,1.544888786069417
800,7,kozachenko,entropy,1.5713452312789267,1.571338569143526
800,7,kernel,entropy,2.2217038656612216,2.2217038656612287
800,7,gaussian,MI,0.04163953315431735,0.04163953315431737
800,7,kraskov,MI,0.03189475263493691,0.02238326891806075
800,7,kernel,MI,0.07847050810426942,0.07847050810426903
800,7,gaussian,TE,0.09065700289960643,0.09065700289960686
800,7,kraskov,TE,0.10479785560073296,0.10092867060910238
800,7,kernel,TE,0.16783845811587755,0.16842739800009565
800,7,symbolic,TE,0.027982255282711144,0.027982255282710936
