identifier,p_M,q_T,log_resid_std,amortized_at_largest,pred_M64_T3200_s,lo_M64_T3200_s,hi_M64_T3200_s
psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,0.9128341615918442,0.00022833390547209866,0.034280228999207435,231.60313,225.3624278731207,217.7678675752256,233.22184518027333
psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,0.9116018746686609,-0.0013786008334792854,0.034242525306628545,231.540183,224.44540347423725,216.88992367073456,232.2640825730092
lcss,1.7891730216880586,1.2889599707748125,0.8192678881925144,94.390592,147.53534949099338,65.02682756016135,334.733834728313
xme_kernel_W-0.5_k1,2.085560945741045,1.404057615594758,0.044118882132928555,50.293133,136.58393736693986,130.68900187970218,142.7447733040921
ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,2.084888021249901,0.838181290259535,0.057777520843240435,67.606215,123.94720336820416,116.98879661708463,131.31949098581816
ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,2.084888021249901,0.838181290259535,0.057777520843240435,67.606215,123.94720336820416,116.98879661708463,131.31949098581816
ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,2.084888021249901,0.838181290259535,0.057777520843240435,67.606215,123.94720336820416,116.98879661708463,131.31949098581816
ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,2.084888021249901,0.838181290259535,0.057777520843240435,67.606215,123.94720336820416,116.98879661708463,131.31949098581816
ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,2.084888021249901,0.838181290259535,0.057777520843240435,67.606215,123.94720336820416,116.98879661708463,131.31949098581816
ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,2.084888021249901,0.838181290259535,0.057777520843240435,67.606215,123.94720336820416,116.98879661708463,131.31949098581816
mi_kraskov_NN-4,2.0615208451361626,1.4696957205984365,0.11415201516112543,39.660842,118.0235353579578,105.29143129398236,132.29523739209745
mi_kraskov_NN-4_DCE,2.0800342961226868,1.4754293812740635,0.06025079027867503,39.604271,117.80646735053287,110.91813209989122,125.12258804641174
cds,2.0826641353459845,0.41896884140745866,0.0447373441951759,81.56513,111.29068892366158,106.4215669342171,116.3825885852554
tlmi_kernel_W-0.25,2.0847227828783113,1.2960801353986116,0.04069833519365279,43.926038,111.1408797879312,106.7084392743181,115.75743440761059
mi_kernel_W-0.25,2.080160379803438,1.294961118333301,0.0380328673873507,43.945338,110.7455641352646,106.6126836013615,115.03865732802339
te_symbolic_k-10_kt-1_l-1_lt-1,2.088619926888446,0.9923526071970215,0.046611560036893304,48.346877,99.74303169211886,95.2005420486829,104.50226602751437
gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,2.0851122770123993,0.8373909708678688,0.05732960604160229,50.526111833333324,92.62934977306489,87.46829961310691,98.09492670296605
gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,2.0851122770123993,0.8373909708678688,0.05732960604160229,50.526111833333324,92.62934977306489,87.46829961310691,98.09492670296605
gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,2.0851122770123993,0.8373909708678688,0.05732960604160229,50.526111833333324,92.62934977306489,87.46829961310691,98.09492670296605
gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,2.0851122770123993,0.8373909708678688,0.05732960604160229,50.526111833333324,92.62934977306489,87.46829961310691,98.09492670296605
gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,2.0851122770123993,0.8373909708678688,0.05732960604160229,50.526111833333324,92.62934977306489,87.46829961310691,98.09492670296605
gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,2.0851122770123993,0.8373909708678688,0.05732960604160229,50.526111833333324,92.62934977306489,87.46829961310691,98.09492670296605
dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,2.084669011445066,0.8384906106298974,0.05729865221062596,50.21914816666666,92.1861273988668,87.05246692452081,97.62253023993644
dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,2.084669011445066,0.8384906106298974,0.05729865221062596,50.21914816666666,92.1861273988668,87.05246692452081,97.62253023993644
dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,2.084669011445066,0.8384906106298974,0.05729865221062596,50.21914816666666,92.1861273988668,87.05246692452081,97.62253023993644
dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,2.084669011445066,0.8384906106298974,0.05729865221062596,50.21914816666666,92.1861273988668,87.05246692452081,97.62253023993644
dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,2.084669011445066,0.8384906106298974,0.05729865221062596,50.21914816666666,92.1861273988668,87.05246692452081,97.62253023993644
dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,2.084669011445066,0.8384906106298974,0.05729865221062596,50.21914816666666,92.1861273988668,87.05246692452081,97.62253023993644
dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,2.0795610308773833,0.855225663176371,0.05477571472678756,45.192060166666664,83.13384737559292,78.70260168837734,87.81458847870613
dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,2.0795610308773833,0.855225663176371,0.05477571472678756,45.192060166666664,83.13384737559292,78.70260168837734,87.81458847870613
dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,2.0795610308773833,0.855225663176371,0.05477571472678756,45.192060166666664,83.13384737559292,78.70260168837734,87.81458847870613
dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,2.0795610308773833,0.855225663176371,0.05477571472678756,45.192060166666664,83.13384737559292,78.70260168837734,87.81458847870613
dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,2.0795610308773833,0.855225663176371,0.05477571472678756,45.192060166666664,83.13384737559292,78.70260168837734,87.81458847870613
dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,2.0795610308773833,0.855225663176371,0.05477571472678756,45.192060166666664,83.13384737559292,78.70260168837734,87.81458847870613
di_kozachenko,2.068101430620012,1.0905021356802385,0.048684913031175454,29.364246,62.30868249832913,59.347848479256264,65.41723102286655
pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,2.0841621606524527,0.8353028152586839,0.05734635745318706,34.011649,62.144485459110896,58.68098429204629,65.81241128740062
pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,2.0841621606524527,0.8353028152586839,0.05734635745318706,34.011649,62.144485459110896,58.68098429204629,65.81241128740062
pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,2.0841621606524527,0.8353028152586839,0.05734635745318706,34.011649,62.144485459110896,58.68098429204629,65.81241128740062
pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,2.0841621606524527,0.8353028152586839,0.05734635745318706,34.011649,62.144485459110896,58.68098429204629,65.81241128740062
pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,2.0841621606524527,0.8353028152586839,0.05734635745318706,34.011649,62.144485459110896,58.68098429204629,65.81241128740062
pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,2.0841621606524527,0.8353028152586839,0.05734635745318706,34.011649,62.144485459110896,58.68098429204629,65.81241128740062
je_kernel_W-0.5,2.0690058754787506,1.46423198725343,0.042404167871083705,19.710386,54.34584438140377,52.089530707262234,56.69989269294739
si_kozachenko_k-1,2.0601537699567967,1.0383100890897838,0.0661376062258753,25.121063,52.76517972794179,49.3883166957409,56.37293145409221
dtw,1.8397151255603852,1.7116251501088664,0.6061786985105707,23.193056,49.80659183562642,27.166066598545157,91.31600194242101
psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,1.5050286084294677,1.8339370389130238,0.24732899543281087,11.695567,28.98147270731279,22.631160916660118,37.11368424173052
psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,1.497412777539137,1.8257221190228048,0.2510392043359716,11.822261,28.590949882993108,22.243526573306468,36.74967692365843
te_symbolic_k-1_kt-1_l-1_lt-1,2.084802790997361,0.9465491661376116,0.04018564157210931,12.846377,25.67553909908947,24.66420768363345,26.728339157893274
psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,1.45057900601991,1.7678397520730518,0.26034303007776133,12.066516,25.643296171017795,19.76552284602102,33.26897262659117
dtw_constraint-itakura,1.895082162043611,0.5353423550746599,1.3391066010398913,19.243657,23.909901775908537,6.26630002211039,91.23141262250961
gc_gaussian_k-max-10_tau-max-2,2.0650220289551986,0.5018648578839575,0.09812773329990797,15.764662,22.175656401766066,20.10296658442012,24.462048165085445
coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,2.064205870571707,0.4765188967307299,0.10159964039633153,10.957145,15.633461359161517,14.123130801514757,17.305306982088062
coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,2.0557635933782774,0.4760031540701321,0.1031578252925099,10.876092,15.342272735523668,13.838493832529574,17.00946183448681
coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,2.067142754039023,0.4687078958276603,0.10094825836365819,10.792505,15.317245498469315,13.846480599917975,16.944234166028327
