identifier,intercept,p_M,q_T,log_resid_std,n_points,amortized_at_largest
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-1,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_nonparametric_max_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
plv_multitaper_mean_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
ppc_multitaper_mean_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
ppc_multitaper_mean_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
ppc_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
ppc_multitaper_max_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-20,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
plv_multitaper_max_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
plv_multitaper_max_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
plv_multitaper_mean_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
ppc_multitaper_max_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-None,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-1,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
wpli_multitaper_max_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
wpli_multitaper_max_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
wpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-20,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-1,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_mean_fs-1_fmin-0_fmax-0-5_order-None,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-None,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-20,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-1,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-None,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-20,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-1,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-None,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-20,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-1,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-None,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-20,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
ppc_multitaper_max_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
